A1,A2
SMARCA2,SMARCA4
ARID1A,ARID1B
STAG1,STAG2
ENO1,ENO2
ENO1,ENO3
ENO2,ENO3
ENO1,ENO4
ENO2,ENO4
ENO3,ENO4
SMARCC1,SMARCC2
UBB,UBC
MAGOH,MAGOHB
ME2,ME3
ERBB2,ERBB4
EGFR,ERBB2
CDK4,CDK6
PAX1,PAX2
PAX1,PAX3
PAX1,PAX4
PAX1,PAX5
PAX1,PAX6
PAX1,PAX7
PAX1,PAX8
PAX1,PAX9
PAX2,PAX3
PAX2,PAX4
PAX2,PAX5
PAX2,PAX6
PAX2,PAX7
PAX2,PAX8
PAX2,PAX9
PAX3,PAX4
PAX3,PAX5
PAX3,PAX6
PAX3,PAX7
PAX3,PAX8
PAX3,PAX9
PAX4,PAX5
PAX4,PAX6
PAX4,PAX7
PAX4,PAX8
PAX4,PAX9
PAX5,PAX6
PAX5,PAX7
PAX5,PAX8
PAX5,PAX9
PAX6,PAX7
PAX6,PAX8
PAX6,PAX9
PAX7,PAX8
PAX7,PAX9
PAX8,PAX9
